"","ME1","ME2","ME3","ME4","ME5","ME6","ME7","ME8","ME9","ME10","ME11","ME12","ME13","ME14","ME15","ME16","ME17","ME18","ME19","ME20","ME21","ME22","ME23","ME24","ME25","ME26","ME27","ME28","ME29","ME30","ME31","ME32","ME33","ME34","ME35","ME36","ME37","ME38","ME39","ME40","ME41","ME42","ME43","ME44","ME45","ME46","ME47","ME48","ME49","ME50","ME51","ME52","ME53","ME54","ME55","ME56","ME57","ME58","ME59","ME60","ME61","ME62","ME63","ME64","ME65","ME66","ME67","ME68","ME69","ME70","ME71","ME72","ME73","ME74","ME75","ME76","ME77","ME78","ME79","ME80","ME81","ME82","ME83","ME84","ME85","ME86","ME87"
"P01-A06-HLM094",-0.110251624556868,-0.0432428816877237,0.106165131579769,-0.102477336139852,-0.0653866701715839,-0.0794548017983437,-0.0405823518309713,0.00776184936057762,-0.0415196698015077,-0.0428074344232,-0.0641493391503968,-0.083347418259145,-0.100217266712663,-0.131727670278848,-0.0327508098816877,-0.0577413258670073,-0.0824434612403262,-0.0161547537593503,-0.0641367042256877,0.0325974582876197,-0.0645307115333472,-0.116460288717563,-0.0476737293025764,-0.083619144365991,-0.0227835658446439,-0.0782907139042465,-0.101992790057997,0.0687234889606594,0.331332752076736,-0.0979031829178048,-0.120234082376568,-0.0630654676892696,-0.0800441286850916,0.239508356189512,0.195951238121203,-0.0127110602519564,-0.0176225401292286,-0.0915629773513131,-0.0930464622894634,0.219249490175402,-0.0794893891007263,-0.084532151929951,-0.0906989943029104,-0.0460180546805389,-0.0802227446381297,-0.0772864693448779,-0.106811895149336,-0.0164474568671565,0.0857622216951112,-0.0270265135576633,-0.0987273025090973,-0.0355729924264254,0.0529239946037381,0.225535911335335,-0.0663757021899439,-0.0369573593465902,-0.0490384154751416,0.198075493072253,-0.0450403639443041,-0.0855104560826974,-0.110887657209959,-0.0371167456248265,0.268805374442281,-0.0350204797480599,-0.0645952626177194,-0.0781641091339677,-0.0716161832172742,-0.0709833310086322,-0.047285064655096,-0.0644705932736346,-0.0313868126275039,-0.0584858019992265,-0.0571228474991121,0.169788311131029,-0.0106162261752372,-0.0651548530060648,-0.100398298627158,-0.0871522423330176,-0.0842179653585745,-0.0579776059165391,-0.0956119837981762,-0.0553006610477303,0.00702238680604752,0.0115584404408081,-0.0355926633414776,-0.042101202770168,-0.0327912917891981
"P01-A11-HLM137",-0.11526843878182,-0.0347183809928211,-0.0843718419848572,-0.102477336139851,-0.0634237983828696,-0.08729350523644,-0.0405823518309717,0.00776184936057753,-0.0220285187413242,-0.0860899347254378,-0.0746499012803424,0.0167273000352067,-0.100217266712663,0.0171649997139384,-0.0327508098816858,-0.0666511880406589,-0.102607862072095,-0.00434347401218819,-0.0794042459866256,0.0177631279438531,-0.0834119869387812,-0.0925303483765553,-0.0286552208468444,-0.0696627594568717,-0.0227835658446447,-0.0976909891592438,-0.0827196793620879,-0.0538737820648566,0.00438524643669824,0.283858700555772,-0.135891714154704,-0.0306124944471746,-0.0749986341214059,-0.0923365495976947,0.0786295284778248,-0.0303379413071754,-0.0947421780616309,-0.122439828332484,-0.128060291629405,0.0873285157799391,-0.100365921433723,0.0489407000226976,-0.0436250729033911,0.0565677571561731,-0.0509695889081845,-0.0530397236604416,-0.0323886661138672,-0.0430399179208369,-0.111334156860589,-0.0349965491225047,-0.047709741031944,-0.0402108705563811,0.0410538904513749,-0.0636398933431269,-0.0663757021899432,-0.0369573593465898,-0.0688813322278165,-0.0677751448922834,-0.0450403639443049,-0.0316154469658119,-0.110887657209959,-0.0448896874740338,-0.0551262688499744,-0.0350204797480584,-0.0645952626177191,-0.0831102029675745,-0.0716161832172743,-0.0424254282751374,0.0639257375195604,-0.0299164247839679,-0.0523548866662604,-0.0584858019992259,-0.0788240719069347,-0.117992038968968,0.367505161173926,-0.0753627274662777,0.594016338063292,-0.0229004979461528,-0.0473162338446565,0.915581127826291,-0.0956119837981763,0.0646104189111971,0.0618638056186815,0.148904475612313,0.502434929595391,-0.0421012027701678,-0.0327912917891977
"P01-A12-HLM131",-0.129359597317405,-0.0427877578635064,0.145687294683332,-0.102477336139851,-0.081387817700298,-0.090770998582511,-0.0405823518309718,0.00776184936057741,-0.0220285187413243,-0.0860899347254381,-0.0914052905977347,-0.116705657690595,-0.100217266712663,-0.152197821858809,-0.0329924027192163,-0.114932377984388,-0.142725559587317,-0.121848903109523,-0.0794042459866256,-0.0922078714645082,-0.0883205768864554,-0.116460288717563,-0.0476737293025767,0.00734852942044164,0.589907929816031,-0.128531229345004,0.0196705548564469,-0.109854357677665,-0.176437923910058,-0.141758699365524,0.332559395437349,-0.163626305553496,-0.080094536170248,-0.0695900353578481,-0.179347956982283,-0.107278304996371,0.410067405621246,-0.0915629773513135,-0.133895929852728,-0.103331185227849,-0.146743461982827,-0.096751714960153,0.460109394687982,-0.161757484037024,-0.0403793807376177,0.0290441305480337,-0.106811895149336,-0.042482437806445,-0.23697146234276,-0.000781505599800388,-0.0307038872062264,-0.0406746583693767,-0.182635757290031,-0.109306813004542,-0.0448900286944889,-0.0369573593465898,-0.0855894681889391,0.220769073116158,-0.045040363944305,-0.0855104560826975,-0.112386681835097,-0.107830631895071,-0.0551262688499744,0.982581517234396,-0.0645952626177197,-0.077110290410071,-0.0545292662765126,-0.0838247003736207,-0.114965562103304,-0.138614580218855,0.957724395745629,-0.0584858019992259,-0.0867676276362762,-0.117992038968968,-0.10652137854904,-0.0924967062102387,-0.111043832020764,-0.0757904308561576,-0.0882923580501128,-0.0667475319896924,-0.0956119837981763,-0.156318847709481,-0.155106197768032,-0.183504956729213,-0.150055727519309,-0.0421012027701678,-0.0327912917891977
"P01-B10-HLM020",-0.022418285933528,-0.00519328901844147,-0.226804320010801,-0.102477336139851,0.851598619416937,0.0205336933849265,-0.0601419276687114,0.554660072455722,-0.0356943490460382,0.000475065879037469,0.117880344972716,0.262954451215139,-0.100217266712663,-0.0841385225342145,-0.0327508098816858,0.0910641091230353,0.636223371370007,0.0168249441669875,-0.0794042459866256,-0.0804154526470728,0.890573358840873,0.14248207629708,0.0162474698092057,0.176622497424261,-0.00992081818552204,0.298960544383223,0.180257272599285,0.284451575555513,0.400842736451967,-0.131730520124393,0.637914481776473,-0.0489559340524278,0.0254275814713023,-0.211790671915627,-0.150276630106632,0.14557257385394,0.200845892966314,0.111785887811642,0.0803171213818374,0.181456518546217,0.490973444199947,0.0061856670317985,-0.0161796547557549,0.12833992323645,-0.0264573184990435,-0.00656117782102384,0.293018312414687,-0.0936910130710602,0.521880304845004,-0.0312777807344994,-0.0307038872062264,0.0627500239286332,-0.159809042813157,-0.105770739575515,-0.0128618645063482,-0.0369573593465898,0.645609015785775,-0.0645331814428024,-0.045040363944305,0.116957406366292,0.0202890777926825,-0.0493215093095102,-0.0551262688499744,-0.0350204797480584,0.340494700326788,0.14305332127658,-0.0716161832172744,0.825834863112766,-0.0655579581122031,-0.109016770087379,-0.0498822295329728,-0.0584858019992259,0.916641413757152,-0.117992038968968,0.33032713522077,-0.0762037276448813,-0.111043832020764,0.283472849983042,0.252790171531114,-0.0607562297320198,-0.0956119837981763,0.105889200081839,-0.0822482604696552,-0.135492884582259,-0.117117951083563,-0.0421012027701678,-0.0327912917891977
"P01-C09-HLM035",-0.0904731922429138,-0.0427985941450354,0.124277306425351,-0.0749804099687403,-0.0569230995884743,-0.0837873250714951,-0.0405823518309718,0.00776184936057747,-0.0265837955095623,-0.0860899347254382,0.00805805569201522,-0.129347778113163,-0.0833024791810703,-0.152197821858809,-0.0329924027192163,-0.101236811559412,-0.00953307051102775,-0.0673363113798523,-0.0641367042256877,-0.0880071276205675,-0.0857998642547679,-0.104495318547059,-0.0472277942261793,-0.0483225989419634,0.000808555108320534,-0.129510573812692,0.0332149696494575,0.0380365880687612,-0.176437923910058,0.067368870628547,0.320110329474598,-0.0579805880120837,-0.0237185610000843,-0.105309837047319,-0.0632745737114609,-0.0181255322573967,-0.0807589911314732,-0.0915629773513135,0.117391169476883,0.0220439634417088,-0.0676539884407986,-0.0251304592526697,-0.0803180152818035,-0.160698879258978,-0.0954133335023862,0.200715032595413,-0.102201444621806,0.0142396968329668,-0.0301042427690186,-0.0171294932647691,-0.0250352692643204,-0.0341816289874389,-0.0753839253715122,-0.0894821132828189,-0.0663757021899433,-0.0369573593465898,-0.072003931483511,-0.0662704805076424,-0.045040363944305,-0.0855104560826976,-0.112386681835097,0.687266638078054,-0.0551262688499744,-0.0350204797480584,-0.0645952626177197,-0.0552182776278498,-0.0137979822364805,-0.0461446040652934,-0.114965562103304,0.413361354776026,-0.048645900966329,-0.0584858019992259,-0.0274476275827367,-0.0900095314644429,-0.0997592978956549,-0.0666555713978633,-0.00880016009538395,-0.0871522423330176,-0.0759530813304614,-0.0722064255085493,-0.0956119837981763,-0.158784023813964,0.0304360731158588,0.115229199330168,0.264971698407394,-0.0421012027701678,-0.0327912917891977
"P01-D01-HLM079",-0.109359317688965,0.977885292603364,-0.275158397438502,0.603854437038735,-0.049197632669254,0.615611687983794,0.955735763663285,-0.254467248290094,-0.0265837955095623,0.649051381816525,0.738400358035206,0.388874338600384,0.134587517030488,-0.14337961196934,0.983732260638227,-0.0942825439965467,-0.122941305807821,-0.0761192592791881,0.581403761641033,-0.0570478196896197,0.241849649168392,-0.104495318547059,-0.0769900298134949,-0.138214698104361,0.2578437038024,0.619575068527704,0.731394408001553,-0.103841003167184,-0.0553497248241087,-0.181905122973574,-0.101095150179819,-0.0857994951024258,-0.0800844546732167,0.516630043625459,-0.145278302916774,-0.0437941489252429,-0.0929856839357543,0.100535655627746,-0.120954965623472,-0.04119285864642,0.0821461316608301,-0.0828442504582981,0.844315719210444,-0.0597932252661712,-0.0415629066035267,0.940628804794317,0.182345464514727,-0.0429132418599725,-0.134095006999453,-0.0966069663474157,0.423883055390874,0.0131247279381083,-0.15570329667602,-0.104904756774876,0.412217779895657,-0.0339601216763553,-0.0647007692169383,0.0197529014394043,-0.045040363944305,-0.0855104560826976,0.439668886003424,0.0704961294592786,-0.0551262688499744,-0.0350204797480584,-0.0645952626177197,0.106890501395469,0.389628933397642,-0.0715260921376237,0.148201031163869,-0.137118748938229,-0.0523548866662604,-0.0584858019992259,0.0433940591418422,-0.0490301795894993,-0.0553982384533353,0.111627141215005,0.00912157708328665,0.769280057358823,-0.041610990064976,-0.0722064255085493,0.10165484829745,0.221698443370493,-0.153102686219779,-0.187327389568696,0.119324078805937,0.0497328983201382,-0.0327912917891977
"P01-D04-HLM073",-0.1316796745966,-0.0427877578635064,0.286668015791784,-0.102477336139851,-0.0511441661993931,-0.0899159686554305,-0.0405823518309718,0.00776184936057747,-0.0415196698015077,-0.0860899347254382,-0.0904257312554563,-0.0959895386817127,-0.100217266712663,0.343798376492687,-0.0329924027192163,-0.10298498169362,-0.0963529944650902,0.149201853466518,-0.0641367042256877,0.102245999323847,-0.0725114767494505,-0.0925303483765557,-0.0476737293025767,-0.060959641671541,-0.0492410197737973,-0.0805070344878807,-0.104621981738374,0.185307405475694,-0.0775505662910053,0.209863605452267,0.0582952731324148,0.0396456787339894,-0.0799181099722006,-0.0815162749581364,0.460349515781789,-0.108586638873249,-0.0962988520403227,-0.122439828332484,-0.0498144569415615,-0.113048058839612,-0.101424582074503,-0.0781805817232705,-0.0917460981203328,-0.0521602805982214,-0.0319285755623135,-0.0756677729882163,-0.0514864888189717,-0.00627339439710355,-0.0684714457868257,-0.0312196423495118,-0.0873900666252855,-0.0365005680524167,0.184225835669051,0.11272148884659,-0.0663757021899433,-0.0369573593465898,0.0396667422313117,-0.0654398043121183,-0.045040363944305,-0.0855104560826976,-0.110887657209959,0.0854322362101383,-0.0551262688499744,-0.0350204797480584,0.0172414307867827,-0.0781641091339674,-0.0716161832172744,-0.0689780360239663,0.0103517910293423,0.109883587885158,-0.0398118245278774,-0.0584858019992259,-0.0322350688657895,-0.0530078171168736,0.637486928630778,-0.0648745196131966,-0.0816342290463528,-0.0757904308561576,-0.0863132110268618,-0.0681572640215279,-0.0956119837981763,-0.11572449241863,0.263099830283232,0.144663474589317,0.0804417714172685,-0.0421012027701678,-0.0327912917891977
"P01-D07-HLM105",-0.130306897134877,-0.0427877578635064,-0.0991228878480609,-0.102477336139851,-0.0587992358488529,-0.0168312347501937,-0.0405823518309718,0.00776184936057747,-0.0220285187413243,-0.0860899347254382,-0.119098809391284,-0.116705657690595,-0.0821398066476969,-0.0902637492931002,-0.0329924027192163,-0.0883450325923076,-0.03596298284834,-0.121848903109523,0.304916791605237,-0.0788510681924171,0.0170450176759673,-0.116460288717563,-0.0485621020453318,-0.0197159030061808,-0.0177848585031771,-0.128485202604806,-0.125869087289394,-0.129285010430171,-0.130424675917625,-0.109108719428759,-0.0909175198926764,0.0261643342800548,-0.0800693324276698,-0.110333533604139,0.184208706067995,-0.101497493612358,-0.0748249319058382,-0.122439828332484,0.0229553705750637,-0.114189343916034,0.0681075817668491,-0.066559287075331,-0.0441188574604794,0.08134034814314,-0.0409711436705722,-0.0191580745866637,-0.0837596425116844,0.00939003060430841,0.265429879995461,-0.00918437415063666,-0.0278695782352734,-0.0378919314914034,-0.086107441623972,-0.101601295552028,-0.0663757021899432,-0.0369573593465898,-0.0617876416205503,-0.0677751448922833,-0.045040363944305,-0.0855104560826976,-0.112386681835097,-0.11282374716952,-0.0551262688499744,-0.0350204797480584,-0.0645952626177197,-0.0831102029675745,-0.0716161832172744,-0.061155008731756,-0.102761247647536,-0.137726064867461,-0.0523548866662604,-0.0584858019992259,-0.0348321878102177,-0.117992038968968,-0.114125364873983,-0.0872526022836982,-0.111043832020764,-0.0871522423330176,-0.0903876037184002,-0.0713034166301049,-0.0956119837981763,-0.118261713352565,0.234080335008839,0.00286402312443146,0.0075487165084946,-0.0421012027701678,-0.0327912917891977
"P01-D08-HLM086",-0.0971707346872704,-0.0427877578635064,-0.0991137958428736,-0.102477336139851,0.1040923344669,-0.0657743229650539,-0.0405823518309718,0.00776184936057747,-0.0220285187413243,-0.0860899347254382,-0.113805765762345,0.0607203780499718,-0.0500299615145788,-0.0411037480709888,-0.0329924027192163,0.399119688046255,-0.010234093425363,0.0684495370411336,-0.0794042459866256,-0.0862003839986602,0.068630118289531,0.21713972367898,-0.0476737293025767,-0.237586781585587,-0.0964252616797277,-0.0607936859736388,-0.0782605855999575,-0.0268888530387304,-0.124774160953842,-0.0996713870703902,0.0423453628231662,0.00641271911549415,0.00444822920928857,-0.0516588711202898,-0.110440659392132,-0.0464364657832059,-0.110662097329502,-0.122439828332484,0.263636780786671,0.208691011698697,-0.00937968679678994,0.0227646297757759,-0.0397788071586265,0.743540468083689,0.0135335794178157,-0.0420615232514634,-0.08079106565737,-0.127928429916045,0.29340457653434,-0.00724077845544462,-0.0902243755962385,-0.0378919314914034,-0.125448403944942,-0.0715291529353406,-0.0663757021899432,-0.0369573593465898,0.054983245871317,-0.0608249871420885,-0.045040363944305,-0.0855104560826976,-0.112386681835097,-0.0838477081296736,-0.0551262688499744,-0.0350204797480584,0.280242509889076,-0.0831102029675745,-0.0716161832172744,-0.0631700497929757,-0.0016062546346179,-0.107612623055667,-0.0507828779327801,-0.0584858019992259,-0.0581951788340159,-0.117992038968968,-0.0921553115707123,0.455742024837585,-0.0905950976356882,-0.0871522423330176,0.0417399121440063,-0.0544896101002902,-0.0956119837981763,-0.0133746560641411,-0.0247095221688276,-0.102112721172175,-0.135268919414537,0.170556710556303,-0.0327912917891977
"P01-E02-HLM042",0.186851123198837,-0.0437495703305136,0.00605419952863908,-0.0395313122530042,-0.0220099553424706,-0.0250276270674973,-0.0613307309541603,0.00776184936057747,-0.0220285187413243,0.335748267126109,0.0736202589326359,0.0318130521216434,-0.0833024791810703,0.480598780118728,-0.0327508098816858,0.0258171762299394,0.161600207031579,-0.0237262379961156,-0.0488691624647498,-0.0359076199087661,-0.00392596931307786,-0.0925303483765557,-0.0337569670077435,0.0901805221972728,-0.101423969021195,0.0601372019997081,0.0745824050495524,-0.0799379176673366,0.0810784540945503,0.198972496175457,0.0571023080270379,-0.0552616691153157,-0.068934908357561,-0.101224631543007,0.144388512176716,-0.101910408711216,0.0718027495332847,0.0758901262385689,0.396792492743012,-0.159084262716546,-0.0353401543695218,0.867538333842483,-0.0443974471769797,0.318130373380489,-0.038884340091088,-0.0267007576959219,0.0268911701490448,-0.042482437806445,-0.0302562294469187,-0.0718501179790265,-0.056212667944803,-0.0369643558654122,0.123210904290708,-0.0816283760135608,-0.0663757021899432,-0.0369573593465898,-0.07227492344814,-0.0610598979599684,-0.045040363944305,-0.0855104560826976,0.114048798954221,-0.084077528932945,-0.0551262688499744,-0.0350204797480584,-0.0645952626177197,-0.0831102029675745,-0.047253982668019,0.0964624402738358,0.0278582678291945,-0.134239379089245,-0.0498822295329728,-0.0584858019992259,-0.0454641818216216,-0.00606200895086854,-0.0849722780815484,0.149836587092588,0.0704677802385148,-0.0871522423330176,-0.0903876037184002,0.101756476267357,-0.023029965345852,0.549909078206745,0.702230866296629,-0.0194193521937441,0.108875480428807,-0.0421012027701678,-0.0327912917891977
"P01-E06-HLM100",-0.0125413834998752,0.0030779393510242,-0.0825028133375276,-0.102477336139851,-0.0279275210636151,0.0171384785697737,-0.0601419276687114,0.00776184936057747,-0.130774195394457,0.0870400664835132,-0.096683904510259,0.0283071753715823,0.144777024203233,-0.125602443519962,-0.0329924027192163,0.0394023701096707,-0.0836848766503037,-0.0137324810514093,-0.0641367042256877,-0.0396990815685914,0.074909409719841,-0.0925303483765557,0.0926575298003585,-0.0967536869561321,-0.0935599287035401,0.134291626722113,-0.0870452255260731,-0.0268888530387304,0.0115487945839044,-0.142493585567192,0.0157288646514496,-0.0259234768155535,-0.0799332322177475,-0.0146081657023764,-0.0273584547156489,0.165626458754819,-0.0788686926961911,0.230771770470715,-0.0409985925818183,0.119578464556866,0.498492024321023,0.0422460877401421,-0.0200670026270576,0.230565182875688,-0.0153264986405594,-0.0587655858266415,-0.043251440842144,-0.11408714424611,-0.0358928792721939,-0.0545677071425252,-0.0703842127995678,-0.03928329493039,-0.150170252718892,-0.0367825822939098,-0.0663757021899432,-0.0369573593465898,-0.0684170414785442,-0.0677751448922833,0.282563251805992,0.165291621876057,0.199824945981456,-0.120845696547142,-0.0551262688499744,-0.0350204797480584,0.830809803080216,0.0904910948339361,0.818693353146586,-0.0550495079302607,0.10578684519138,-0.128157188469047,-0.0523548866662604,0.0829257869250806,-0.0353911833120782,-0.060038205196231,-0.0241403874820078,0.00816355053804382,0.195687183755377,0.230582917073037,0.0844629860826411,0.0512182549593845,0.0340418461541939,0.174265727542323,-0.123137996839503,-0.122198029356107,-0.0979062128209217,-0.0421012027701678,-0.0327912917891977
"P01-E07-HLM103",-0.0945454045951762,-0.0549196964999138,-0.035203276284067,-0.102477336139851,-0.0278077491078567,-0.0925097452555465,-0.0405823518309718,0.553818131002145,-0.0220285187413243,-0.0860899347254382,-0.0656648234719783,-0.0879155400953981,-0.100217266712663,0.0458548493560888,-0.0329924027192163,0.000820899549521461,0.239421784815772,-0.0818725660962978,-0.0641367042256877,-0.088265976819446,0.00496892195688159,-0.116460288717563,-0.047256527007451,0.733843733721107,-0.0806971810444176,-0.0262128901619562,-0.112581188311903,-0.119569684053918,-0.0690714480924827,-0.123000282157127,-0.0460432685995553,-0.0814203265151514,-0.0800592509306385,-0.111948293211688,-0.0749982129678087,-0.12853357933157,0.626360932318542,-0.0972969096170114,-0.0173046816987989,-0.132632545571233,0.491900209415481,-0.096751714960153,-0.0444588186433707,-0.12296938245417,-0.0295676517741397,-0.00608765389760217,-0.0877140724442319,0.0506735580495241,0.209165307239039,-0.0409980725414451,-0.0278695782352734,-0.0369643558654122,0.10051067779967,-0.107890282949643,-0.0663757021899432,-0.0369573593465898,0.675984647721912,-0.0677751448922833,-0.045040363944305,-0.0407717959935386,-0.112386681835097,-0.104924265031786,-0.0551262688499744,-0.0350204797480584,-0.0645952626177197,-0.077110290410071,-0.0716161832172744,0.426215447727501,-0.0978517613408553,-0.0700504801377134,-0.0523548866662604,0.0357885906169784,0.182195276157614,-0.0470413608258121,-0.114125364873983,-0.0654351863989324,-0.0595008298570065,-0.0871522423330176,-0.0844501626486471,-0.0690602728999723,-0.0540503792504089,-0.0906764848118065,0.0675751951954837,0.706438238919347,-0.127167071547059,-0.0421012027701678,-0.0327912917891977
"P01-E10-HLM023",0.556223439643461,-0.0382327516331383,0.533358026963706,-0.0474834837976294,-0.0607294311204168,-0.0820772652173339,-0.0245891858495789,-0.167057549073204,-0.138253984784979,0.28214015424912,0.473327320351472,0.180331761933882,0.883480892412593,0.42926381415978,-0.0329924027192163,-0.0951779159860009,-0.151382950128238,0.728552764810941,-0.0336016207038119,-0.0375953079143096,-0.0747220648463569,0.466622776386668,0.966790998671419,0.220985391461528,-0.0985586360450077,0.408933349547947,0.480849945336155,-0.104611464048754,0.0330457311495457,0.0393195356252483,-0.0261769312082762,0.91654576070091,0.118734414680427,0.516169811470097,0.396669065726904,0.343052825465945,-0.0393193397034296,0.654672971807223,-0.136872858252173,-0.0618602640647732,-0.115442405149884,0.0577271963926531,-0.016617731068314,0.0706123955931284,-0.0988140478812431,-0.0818671590778378,0.271234114993603,-0.0536833431981575,-0.147698242392484,-0.132745315776574,-0.107230229421956,-0.0378919314914034,0.579966339830912,0.809122579207884,0.827211403821258,0.032751235277441,-0.0323991080690599,-0.0677751448922833,0.92778068668355,0.511777431191951,0.282280113723476,0.256016311101206,-0.0551262688499744,-0.0350204797480584,-0.0645952626177197,0.816333158976636,-0.0716161832172744,-0.0789105392351824,0.878460014001157,0.311792287499296,-0.0523548866662604,0.0610793846569591,-0.00154839717293304,0.614594725464347,-0.10652137854904,0.774559619544016,0.56292207028461,0.247427853315314,0.346152907501388,0.227546821209995,0.661831772654699,0.560346141260294,0.00919181199689679,0.0533729726657975,-0.138906268490977,-0.0421012027701678,-0.0327912917891977
"P01-F01-HLM066",-0.123849067370626,-0.0427877578635064,-0.119488929797267,-0.0670282384241151,-0.0813959868295858,-0.0916547153284659,-0.0405823518309718,0.00776184936057747,-0.0415196698015077,0.000475065879037469,-0.0837790763823972,-0.129347778113163,0.0603319589529276,-0.150479260250567,-0.0329924027192163,-0.0608858340756577,-0.143255248546615,-0.12033473718561,-0.0794042459866256,0.406189666126827,-0.0950195484266817,-0.116460288717563,-0.0467979742454376,-0.121373825329253,-0.00705548520933455,-0.142908911666797,-0.0892632520405074,-0.103841003167184,-0.161907072359516,0.178946553971462,-0.183408415932783,-0.081463858774391,-0.0750389601095311,-0.0133692265575805,-0.0712596668139359,-0.0836810047004019,-0.117979599543923,-0.122439828332484,-0.136872858252173,-0.02998721625849,-0.112537895901943,-0.0514630731329201,-0.108271001142494,-0.162250824592341,-0.0558595801035527,-0.0766148208350596,-0.0975909940942756,0.0306452804153827,-0.148197731738827,-0.00734275758926612,-0.0363725051481323,-0.0402108705563811,-0.0512293694905057,0.00424363118327938,-0.0663757021899432,-0.0369573593465898,-0.0855894681889391,-0.0677751448922833,-0.045040363944305,-0.0855104560826976,-0.112386681835097,-0.0624098964806405,-0.0551262688499744,-0.0350204797480584,-0.0645952626177197,-0.077110290410071,-0.0716161832172744,-0.0838247003736207,-0.0841808603609684,-0.12713125627809,-0.0523548866662604,-0.0584858019992259,-0.0872961833589253,-0.117992038968968,0.159224025269099,-0.0924967062102387,-0.111043832020764,-0.0767702119747314,-0.0903876037184002,-0.00488622594925085,-0.0956119837981763,-0.148887296981303,-0.136413459347296,-0.15689209461236,-0.109724547031177,-0.0421012027701678,-0.0327912917891977
"P01-F12-HLM140",0.0779722559771934,-0.0549196964999138,-0.104807255881792,0.0313668831784681,-0.0675104024283215,-0.0925097452555465,-0.0405823518309718,-0.254467248290094,-0.0471484494202195,-0.0860899347254382,-0.183439400072127,-0.121273779526849,-0.0471475590511383,-0.110733900873061,-0.0329924027192163,0.0578125705462123,0.174340542930304,-0.111551789286274,-0.0794042459866256,-0.13349831170236,-0.0869493490093817,0.21713972367898,-0.0476737293025767,0.104268673926373,-0.0277822731861122,-0.0787536163888885,-0.116035095945616,-0.106992790556418,-0.170787408946275,-0.122815821668425,0.0200891552082435,-0.0831676407241372,-0.0800038026969664,-0.100506960606319,-0.279596231334105,-0.09983789077702,0.398859261900248,-0.122439828332484,-0.0707744720502184,-0.151160518890789,0.230478988781927,-0.0961115939436655,-0.0402110524337129,-0.134824783495719,-0.0528518732779178,-0.0363356610852634,0.0588344913585073,0.060520772132305,-0.0808247222906225,-0.0302603027272702,-0.0222009602933675,-0.0374281436784078,-0.107593490658887,-0.115407844195521,-0.0663757021899432,-0.0369573593465898,-0.0674974783053883,-0.0677751448922833,-0.045040363944305,-0.0455793775438626,-0.110887657209959,-0.116154206853154,-0.0551262688499744,-0.0350204797480584,-0.0645952626177197,-0.0015348963285502,0.211553731790223,-0.0650205323020195,-0.106836324239725,-0.123127088740457,-0.0523548866662604,0.880813732390959,-0.0497078474924197,0.0459253685308067,-0.0685014469243274,-0.0869722688908303,-0.0807918966442177,-0.0871522423330176,-0.0842179653585745,-0.070701410711142,-0.00751975839357349,-0.124199513521738,0.0693222979374532,-0.102024627963898,-0.132082818037593,-0.0421012027701678,-0.0327912917891977
