"","P01-A06-HLM094","P01-A07-HLM102","P01-A09-HLM053","P01-A11-HLM137","P01-A12-HLM131","P01-B10-HLM020","P01-C01-HLM080","P01-C09-HLM035","P01-D01-HLM079","P01-D04-HLM073","P01-D06-HLM093","P01-D07-HLM105","P01-D08-HLM086","P01-E02-HLM042","P01-E06-HLM100","P01-E07-HLM103","P01-E10-HLM023","P01-E12-HLM138","P01-F01-HLM066","P01-F06-HLM081","P01-F12-HLM140","P01-G03-HLM067","P01-G05-HLM083","P01-G06-HLM075","P01-H01-HLM063","P01-H04-HLM110","P01-H08-HLM052","P01-H11-HLM124","P01-H12-HLM148","P02-A01-HLM146","P02-A05-HLM167","P02-A09-HLM134","P02-A10-HLM405","P02-A11-HLM413","P02-A12-HLM421","P02-B01-HLM145","P02-B04-HLM001","P02-B08-HLM003","P02-B10-HLM406","P02-B11-HLM414","P02-B12-HLM422","P02-C10-HLM407","P02-C11-HLM415","P02-C12-HLM423","P02-D09-HLM400","P02-D10-HLM408","P02-D11-HLM416","P02-D12-HLM424","P02-E09-HLM401","P02-E10-HLM409","P02-E11-HLM417","P02-E12-HLM425","P02-F09-HLM402","P02-F10-HLM410","P02-F11-HLM418","P02-F12-HLM426","P02-G03-HLM036","P02-G09-HLM403","P02-G10-HLM411","P02-G11-HLM419","P02-G12-HLM427","P02-H02-HLM176","P02-H04-HLM162","P02-H06-HLM152","P02-H09-HLM404","P02-H10-HLM412","P02-H11-HLM420","P02-H12-HLM428","P03-A01-HLM429","P03-B01-HLM430","P03-C01-HLM431","P03-D01-NEC","Kingdom","Phylum","Class","Order","Family","Genus"
"?",0.0449210332851674,0.0707263165917232,0.0245303690243968,0.0320683533067022,0.00748724699687346,0.0256224984371575,0.0150191930536232,0.0341182214210605,0.0121595398640254,0.0374894627940838,0.0287234042553191,0.0340563795541382,0.0643137471670997,0.0441182131995329,0.0634172734855829,0.0194997067713267,0.0385116803495296,0.0821102983428846,0.160333302811098,0.0530174844895657,0.106845637583893,0.0562131275277355,0.0298777961888981,0.0146384671566875,0.0257753919563736,0.0497615405381085,0.0225844461901021,0.0373378641581368,0.0269479460465473,0.0271488208786044,0.0181695676586188,0.0557933111428119,0.00339944482439554,0.00416002550207204,0.00392498909725251,0.0196151690640762,0.0357420933595343,0.0241372030601269,0.0313160032493907,0.00118483412322275,0.468249092432281,0.0180682684973303,0.0193128467776355,0.00202881671143839,0.00608853748255888,0.0176324090984559,0.00285456730769231,0.000207404334750596,0.000569742301174546,8.83665444262802e-05,0.000690858846629336,0.0268756998880179,0.00357757137942896,0.00079878479951811,0.0199489495385824,0.00481804383890438,0.00206037803457852,0.00311946020970468,0.000171531609928752,0.0218591875090357,0.00477268340615185,0.0238967003921399,0.0413402324818715,0.0469552457813646,0.006021409455843,0.00470388472040568,0.0441640378548896,0.0120241906794735,0.00539956803455724,0.00721288702481767,0.000336484047597198,0.154545454545455,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","?"
"[Eubacterium] brachy group",0,1.52427406447679e-05,0,2.21926320461607e-05,0,6.49492989535044e-05,3.35249844946947e-05,0,0.000656140497829152,0,0,0,0,1.28325227456466e-05,0.000112721780102351,0,0,0,0,0,0,0,0,0,6.39059304703477e-05,0.000179969405201116,0,4.14404707637479e-05,0.0017555977666494,2.76464571065218e-05,6.73778775968557e-05,0,8.0460232530072e-05,0,4.84566555216359e-05,0,0,0,0,0,0,9.534706331045e-05,0,0,0,0.00033206043499917,0,0,0,0,0,0,0,0,0.000196347928529354,0.000264727683456285,0,0,0,2.89142691918462e-05,0.00038602586373287,4.3330372424551e-05,5.46587472215137e-05,6.47360925294549e-05,0,0,0,0,0.00134989200863931,0.000400715945823204,0,0,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","[Eubacterium] brachy group"
"[Eubacterium] nodatum group",0.000785864577787918,3.04854812895359e-05,0.000374101488389493,0.000843320017754106,8.2277439526082e-05,0.000178610572122137,0,0.00067598017124831,0.00027920872248049,0.00141006973714461,0.000921985815602837,0.00309876951773519,0.00143717870764469,0.000500468387080216,0.000383254052347995,9.02242071547796e-05,0.0130721257179099,0.00163071332059824,0.000732533650764582,0.000564015792442188,0.000123902942694889,0.00237467997476903,0.000155343827671914,0.000357414803188762,0.00191717791411043,0.00476918923782957,0.00169383346425766,0.000476565413783101,0.00268616051727777,0.00105056537004783,0.000763615946097698,0.00364558567126327,0,0.000318775900541919,4.84566555216359e-05,0.0127031571081636,7.41537206629343e-05,0.000251324480009651,0,0,0,0.00047673531655225,0.00206288234457249,1.87853399207259e-05,0,0.00169350821849577,5.00801282051282e-05,0,0,6.31189603044859e-06,0,0.00335946248600224,6.87994496044032e-05,0,0.00373061064205773,0.000229430658995447,0,2.74842309225082e-05,0,0.00104091369090646,0.000403572493902546,0.0010615941244015,0.00114783369165179,0.00131630054809892,0,6.88373373717905e-05,0,0.00120953397367485,0.000674946004319654,0.000881575080811049,0,0,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","[Eubacterium] nodatum group"
"[Eubacterium] saphenum group",0,3.04854812895359e-05,0.000160329209309783,0,0,8.11866236918805e-05,0,0,0,0,0,0,0,2.56650454912931e-05,0.000135266136122822,0,9.39595738933324e-05,0,0,0,0,3.7104374605766e-05,0,0,0,0,0,0.000455845178401227,0.0244344672768088,0.000138232285532609,2.24592925322852e-05,0,0,0,0,0.000186811133943583,0,0,0,0,0,0,0,0,0,3.3206043499917e-05,0,0,0,0,0,0,0,0,0.000117808757117612,1.7648512230419e-05,0,0,0,0,3.50932603393518e-05,0,0.000236854571293226,0.000107893487549092,0,0,0,0,0.000269978401727862,0,0,0,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","[Eubacterium] saphenum group"
"[Eubacterium] yurii group",0,0,0,2.21926320461607e-05,0,0,0,0,0,1.53268449689631e-05,1.77304964539007e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79671520942459e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55669369753877e-05,0,0,0,0,0,0,0,0,0,0,0,0.000117808757117612,0,0,0,0,0,1.75466301696759e-05,0,0,2.15786975098183e-05,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","[Eubacterium] yurii group"
"Abiotrophia",0.000278855172763455,0.000106699184513376,0.000133607674424819,2.21926320461607e-05,0,0.00232193743758778,1.67624922473473e-05,0.000319212858645035,0.00192654018511538,0.000153268449689631,1.77304964539007e-05,0.000361021691386624,0.000165828312420541,0.000166822795693405,6.76330680614108e-05,0.000124058284837822,9.39595738933324e-05,0.000388265076332914,9.15667063455728e-05,0.000689352635207119,0.000144553433144037,0.000222626247634596,5.17812758906379e-05,0.00214448881913257,6.39059304703477e-05,0.00212963796154654,0.000147289866457188,2.07202353818739e-05,5.7560582513095e-05,0,0.000269511510387423,0.00011887779362815,0.000181035523192662,0.000207204335352247,7.26849832824538e-05,0,0.000148307441325869,0.000191006604807335,0,6.58241179568194e-05,0,0.0001906941266209,0.00128040973111396,0,0,0,0,0,0,0,0,0.000559910414333707,6.87994496044032e-05,2.61896655579708e-05,0.00168859218535244,0.000335321732377961,0.00165726059303055,0,4.18369780314028e-06,0.00161919907474339,0.00047375901458125,0.00129991117273653,0.000346172065736253,0.00012947218505891,0,4.58915582478603e-05,0,0,0,0,1.52947294362363e-05,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Abiotrophia"
"Acholeplasma",0,3.04854812895359e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000140939360839999,0,0,0,0,3.7104374605766e-05,0,0,2.13019768234492e-05,0,0,0.00120177365214869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82195824071712e-05,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Acholeplasmatales","Acholeplasmataceae","Acholeplasma"
"Acinetobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18775900541919e-05,0,0,0,0,0.000690495532087734,0.000131648235913639,0,0,0,0,0,0,0,3.11106502125894e-05,5.84351078127739e-05,6.31189603044859e-06,3.63609919278598e-05,0.000559910414333707,0,0,0.000196347928529354,0,0,1.37421154612541e-05,4.18369780314028e-06,2.89142691918462e-05,0,0,0,0,0.000390276538804639,2.29457791239302e-05,0,0.000142298114549982,0,2.67143963882136e-05,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"Actinobacillus",0,0.00051825318192211,0,0.000110963160230803,9.87329274312983e-05,0.00661670983088826,0,0.00107030193780982,8.37626167441471e-05,0.000122614759751705,0,0.000782213664671019,2.76380520700901e-05,3.84975682369397e-05,0,2.25560517886949e-05,0,0,0,0,0,0,0.000207125103562552,0,0.000298227675528289,0,0.00095738413197172,0.00404044589946542,0,0.00146526222664566,8.98371701291409e-05,7.92518624187668e-05,0,0,0,0,0.00296614882651737,0.000392066188815055,0,0,0,0,0.000497937117655428,0,0,0,0,0,0,0,0,0,0,0,0.00490869821323385,0.000370618756838798,4.47908268386634e-05,0,0,0,8.77331508483796e-05,0.00288146976623264,0.000218634988886055,0.00112209227051055,0,0,0,0,0,5.34287927764272e-05,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pasteurellaceae","Actinobacillus"
"Actinomyces",0.0125991837148579,0.0023778675405838,0.00911204339577265,0.0754327563249001,0.000822774395260819,0.00103918878325607,0.00544780998038788,0.0533836563016374,0.00399268473147101,0.0689248218254272,0.0432801418439716,0.0210896838051686,0.0130727986291526,0.0249592567402826,0.00157810492143292,0.00277439437000947,0.030501626675123,0.023497802419668,0.0984342093214907,0.00589083160995175,0.00522457408363449,0.0485696263589477,0.0049192212096106,0.0948858603595904,0.00622017723244717,0.0944239479288521,0.00591614296936371,0.0289047283577141,0.00908497860665017,0.00834923004616958,0.0313082537900056,0.0659771754636234,0.000482761395180432,0.000685368186165126,0.000678393177302903,0.0487577059592752,0.0323680990693708,0.0731052647452072,0.00515840779853777,6.58241179568194e-05,0.000874988364516429,0.0241704805491991,0.00284535495803101,1.87853399207259e-05,0,0.00418396148098954,0.000200320512820513,2.07404334750596e-05,0,6.31189603044859e-06,0,0,0.000412796697626419,0.00014404316056884,0.00208128804241115,7.05940489216759e-05,0.00123174773806324,0,0.000129694631897349,0.00306491253433569,0.000193012931866435,0.0147106614381351,0.00994789199431549,0.00735833585084804,0,6.88373373717905e-05,0,7.11490572749911e-05,0.000134989200863931,0.000935003873587476,0.00012235783548989,0,"Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"Aggregatibacter",0.000202803762009785,0.0133221553235272,0.000133607674424819,0.00139813581890812,0,0.00499297735705065,0,0.00153973261228782,0.00106099314542586,0.00104222545788949,0.000124113475177305,0.00373055747766178,0.00146481675971478,0.00196337598008392,0.000946862952859752,0.016003518744079,2.34898934733331e-05,0.000745468946559195,0,0.00175471579870903,0.000640165203923593,0.000222626247634596,0.00207125103562552,0.000652670510170782,0.000511247443762781,0.000149974504334263,0.00095738413197172,0.0010360117690937,0.000153494886701587,0.0135744104393022,0.000112296462661426,0.00154541131716595,0,0,0,0.000373622267887166,0.00051907604464054,0.000452384064017372,0,0,0,0,0.00754019063878219,0,0,0,0,0,0,0,0,0,0,0,0.00541920282741017,0.00262962832233243,0.00259786795664248,0,0,0,0.000596585425768981,0.00160322377970839,0.00599424261195933,0.00304259634888438,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pasteurellaceae","Aggregatibacter"
"Alloprevotella",0.0212690445407762,0.0165841018215075,0.00366085027924004,0.0240124278739458,1.64554879052164e-05,0.0131928263499306,0.00253113632934945,0.036390265885534,0.0036436738283704,0.0331979462027742,0.159007092198582,0.0308372694726075,0.0381128738046542,0.0308750497260256,0.00847667786369682,0.0302476654486399,0.033637527453813,0.0384848343661184,0.00796630345206483,0.00614150529548161,0.0142694889003614,0.0060109086861341,0.022317729908865,0.00512812543705615,0.0544691547375596,0.031554635711929,0.0416093872741555,0.0171356346608097,0.00201462038795833,0.0302175776174283,0.00577203818079731,0.0171184022824536,0,9.56327701625757e-05,0,0.00840650102746124,0.0024841496422083,0.0102942507011953,0.000121852152721365,0,0,0,0.176091904965144,0,0,0,0.000300480769230769,0,0,0,0,0,0,0,0.0681720007853917,0.0174190815714235,0.000246349547612649,0,0,2.89142691918462e-05,0.00600094751802916,0.0154472777693524,0.0317020733884779,0.0298649173535885,0,0,0,0,0,5.34287927764272e-05,0,0,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella"
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0.000405607524019571,6.09709625790717e-05,0.00056115223258424,0,0.0102188579891394,1.62373247383761e-05,0,7.51089079164789e-05,0,0.000122614759751705,0,0,2.76380520700901e-05,3.84975682369397e-05,0,0,0,0,0,0,0,0.000593669993692256,0,3.10795481033706e-05,0,0.00281952068148415,0,0,0.0178054068573841,0.00116115119847392,0.00217855137563167,0,0,0,0,0.000186811133943583,0,6.03178752023162e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.63609919278598e-05,0,0.000137598899208806,0,0,0,0.000268744961031981,0,0,2.89142691918462e-05,0,0.00112658968303833,0.000637685384250993,0.000280523067627638,0,0,0,0,0,0,0,0.00909090909090909,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Alloscardovia",2.53504702512232e-05,0,0,0,0,0,0,1.87772269791197e-05,0,0,0,3.00851409488853e-05,0,0,0,0,1.17449467366665e-05,0,0,0,0,0,0,0,0.000127811860940695,0,0,0,9.59343041884917e-06,0,0,0,6.0345174397554e-05,0,0,0.000373622267887166,0,0,0,0,0,0,0,0,0,9.9618130499751e-05,5.00801282051282e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Alloscardovia"
"Alysiella",0,0,0,0,0,8.11866236918805e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.19514713474445e-05,0,0,0,0,2.99949008668526e-05,0,0,0,0,0,0,0,0,0,0,0,1.0052979200386e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92695857058708e-05,0,0,0,0,0,0,2.16651862122755e-05,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Alysiella"
"Amnipila",0,4.57282219343038e-05,0,0,0,2.43559871075642e-05,0,0,0,1.53268449689631e-05,0.000407801418439716,0,0.000138190260350451,0,0.000293076628266114,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59343041884917e-06,0,0,0,0,0,0,0,0,2.01059584007721e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92695857058708e-05,3.52970244608379e-05,0,0,0,0,0,0,3.64391648143425e-05,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Amnipila"
"Anaeroglobus",0,1.52427406447679e-05,0,0,0,8.11866236918805e-06,5.0287476742042e-05,0,4.18813083720735e-05,0,0,0,0,5.13300909825863e-05,0.000157810492143292,2.25560517886949e-05,0.000328858508626663,6.21224122132662e-05,0,0,0,0.00055656561908649,0,7.76988702584264e-05,0,0,2.4548311076198e-05,0.000165761883054992,0.00100731019397916,0.000138232285532609,0.000134755755193711,0,0,0,0,0,0,3.01589376011581e-05,0,0,0,4.7673531655225e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000117808757117612,0,0,0,0,0,0,0,0.000327952483329082,4.31573950196366e-05,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Anaeroglobus"
"Aquabacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55306030533166e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87853399207259e-05,0,3.3206043499917e-05,0,0,0,0,0,0,0,0,0,1.7648512230419e-05,0,2.74842309225082e-05,4.18369780314028e-06,0,0,0,0,0,0,2.29457791239302e-05,0,0.000142298114549982,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Aquabacterium"
"Atopobium",0.00380257053768347,0.000137184665802911,0.0074553082329049,0.00190856635596982,0.00041138719763041,0.000746916937965301,0.00796218381748998,0.0237531921285864,0.00439753737906772,0.0046133803356579,0.00395390070921986,0.00108306507415987,0.00160300702006523,0.00085977902395832,0.000247987916225173,0.00062029142418911,0.0069882433083166,0.00128904005342527,0.00695906968226353,0.00106536316350191,0.000392359318533815,0.0101294942673741,0.000129453189726595,0.00523690385541794,0.00325920245398773,0.0292150334443145,0.00157109190887667,0.00706560026521901,0.00572727796005296,0.00323463548146305,0.00525547445255474,0.00158503724837534,0.000160920465060144,0.000494102645839975,0,0.0076592564916869,0.000222461161988803,0.000894715148834357,0.000649878147847279,0.000197472353870458,0.000130317415991809,0.0059115179252479,0.00138711054204012,0,0,0.00405113730698987,5.00801282051282e-05,0,0,0,0,0,0,0,0.00380914981346947,0.000158836610073771,2.23954134193317e-05,0,0.000171531609928752,0.000954170883330924,0.000421119124072222,0.00153822822107156,0.0078526400174908,0.000517888740235639,0,0.000137674674743581,0.000168995042812078,0.00064034151547492,0,0.00112200464830497,1.52947294362363e-05,0.00909090909090909,"Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobium"
"Bacteroides",0,0,0,0,0,0,1.67624922473473e-05,0,1.39604361240245e-05,0,0,0,0,0,0,0,0.000399328189046663,0,0,0,0,3.7104374605766e-05,0,0,0,0,0,8.28809415274958e-05,9.59343041884917e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7648512230419e-05,0,0,0,0,0,0,1.82195824071712e-05,0.000107893487549092,0,0,0,0,0,0,0,0,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Bergeyella",2.53504702512232e-05,0.000121941925158143,2.67215348849638e-05,0,0,0.000129898597907009,3.35249844946947e-05,0,0.000362971339224637,1.53268449689631e-05,5.31914893617021e-05,0.000240681127591083,0.000248742468630811,2.56650454912931e-05,0.000225443560204703,0.00134208508142735,0,1.55306030533166e-05,0,0.000626684213824654,2.06504904491482e-05,0,2.5890637945319e-05,7.76988702584264e-05,2.13019768234492e-05,0,0.00012274155538099,0.000290083295346235,3.83737216753967e-05,2.76464571065218e-05,4.49185850645705e-05,3.96259312093834e-05,0,0,0,0,0.000129769011160135,4.02119168015441e-05,0,0,0,0,0.000355669369753877,0,0,0,0,0,0,0,0,0,0,0,0.00589043785588062,0.00132363841728142,0.000559885335483293,0,0,0,0.000263199452545139,0.000129991117273653,0.000437269977772109,0.000107893487549092,0,0,0,0,0,0,0,0,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Bergeyella"
"Bifidobacterium",0,0.000106699184513376,0,0,3.29109758104328e-05,0,0,7.51089079164789e-05,0,0,0,0,0,0,0,0,0,0,0,6.26684213824654e-05,0.000392359318533815,0,0,7.76988702584264e-05,0.000106509884117246,0,0,4.14404707637479e-05,0.000105527734607341,0,0.000202133632790567,0,4.0230116265036e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000298854391499253,0,2.07404334750596e-05,0,0,0,0.000559910414333707,0,0,0,0,0,0,0,0,0,0,0,2.15786975098183e-05,0,0,0.00180261378999549,0,0,0,0,0,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"Bosea",0,0,0,0,0.000345565246009544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59343041884917e-06,0,0,0,0,0,0,0,0,0,0,0,0.486195662291725,0,0,0,0,0,0,2.07404334750596e-05,4.38263308595804e-05,0,0,0,0,0,0,0,0,1.37421154612541e-05,4.18369780314028e-06,0,1.75466301696759e-05,2.16651862122755e-05,0,2.15786975098183e-05,0,0,0,0,0.000134989200863931,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea"
"Bradyrhizobium",0,0,0,0,1.64554879052164e-05,8.11866236918805e-06,0,0,4.18813083720735e-05,0,0,0,0,0,0,0,0,0,0,0.000125336842764931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63609919278598e-05,0,6.87994496044032e-05,0,7.85391714117416e-05,0,0,1.37421154612541e-05,0,2.89142691918462e-05,1.75466301696759e-05,0,0,0,0,0,0,0,0.000134989200863931,5.34287927764272e-05,0,0.00909090909090909,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium"
